Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
SEA,"Seattle, WA: Seattle-Tacoma International",2000/11,11,November,2000,900,1845,2954,13,60,"American Airlines Inc.,Sun Country Airlines,Allegiant Air,Frontier Airlines Inc.",4,219,8594,21,20756,29590,57976,56077,79356,294,230925,37222
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2008/01,1,January,2008,562,2003,1608,30,681,"Frontier Airlines Inc.,Alaska Airlines Inc.,Hawaiian Airlines Inc.,Sun Country Airlines,Spirit Airlines Inc.,United Air Lines Inc.",6,184,7840,9,9676,17709,63849,39182,24407,1163,163664,35063
SFO,"San Francisco, CA: San Francisco International",2007/12,12,December,2007,1786,1119,1324,11,625,"Delta Air Lines Inc.,Frontier Airlines Inc.,Sun Country Airlines,Allegiant Air",4,48,1613,0,24806,26467,22644,37784,85755,1965,171514,23366
SFO,"San Francisco, CA: San Francisco International",2003/06,6,June,2003,368,817,1573,13,694,"Alaska Airlines Inc.,Hawaiian Airlines Inc.,Southwest Airlines Co.,American Airlines Inc.,Sun Country Airlines",5,120,5073,24,17436,22653,14101,6453,118879,1562,176073,35078
BOS,"Boston, MA: Logan International",2011/01,1,January,2011,1350,2079,1101,30,633,"Allegiant Air,Hawaiian Airlines Inc.",2,80,3642,13,19199,22934,2911,44475,9794,1965,83151,24006
SEA,"Seattle, WA: Seattle-Tacoma International",2023/08,8,August,2023,516,1503,939,22,29,"Allegiant Air,Delta Air Lines Inc.,JetBlue Airways",3,46,3380,17,20678,24121,10956,17589,52466,1209,87615,5395
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/05,5,May,2003,1247,1827,955,1,45,"Spirit Airlines Inc.,JetBlue Airways,Hawaiian Airlines Inc.,Alaska Airlines Inc.,Allegiant Air,Delta Air Lines Inc.,American Airlines Inc.",7,43,1654,2,23065,24764,46628,6578,92015,483,173095,27391
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2002/07,7,July,2002,1939,1800,2019,4,175,"Spirit Airlines Inc.,Alaska Airlines Inc.,Hawaiian Airlines Inc.,Allegiant Air,United Air Lines Inc.,American Airlines Inc.,Southwest Airlines Co.",7,133,904,43,20007,21087,47013,18796,49465,1262,149882,33346
BOS,"Boston, MA: Logan International",2010/08,8,August,2010,615,1150,2972,28,719,"JetBlue Airways,Allegiant Air",2,267,6091,9,24038,30405,22002,54443,60306,1210,166320,28359
SEA,"Seattle, WA: Seattle-Tacoma International",2012/04,4,April,2012,1504,1745,944,2,92,"Delta Air Lines Inc.,Alaska Airlines Inc.,Allegiant Air,JetBlue Airways,Southwest Airlines Co.,Frontier Airlines Inc.",6,258,4409,4,26414,31085,18155,99142,3014,773,148711,27627
DEN,"Denver, CO: Denver International",2019/02,2,February,2019,414,878,1181,15,165,"Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.",3,199,2571,34,16619,19423,78215,92561,65269,659,247277,10573
LAX,"Los Angeles, CA: Los Angeles International",2014/06,6,June,2014,1189,2096,2621,18,595,"Spirit Airlines Inc.,Allegiant Air",2,156,8410,8,22136,30710,47053,44571,90616,782,186432,3410
JFK,"New York, NY: John F. Kennedy International",2007/06,6,June,2007,1726,2424,165,5,181,"Delta Air Lines Inc.,Southwest Airlines Co.,Hawaiian Airlines Inc.,Allegiant Air,American Airlines Inc.",5,266,947,46,6273,7532,61999,31415,105763,759,226928,26992
SEA,"Seattle, WA: Seattle-Tacoma International",2012/01,1,January,2012,1992,1506,477,7,272,"American Airlines Inc.,Southwest Airlines Co.,Alaska Airlines Inc.,Hawaiian Airlines Inc.,Sun Country Airlines,Spirit Airlines Inc.",6,131,7208,8,26324,33671,20812,47462,19656,924,137525,48671
DEN,"Denver, CO: Denver International",2009/08,8,August,2009,276,960,1941,13,36,"Hawaiian Airlines Inc.,Sun Country Airlines,JetBlue Airways,Alaska Airlines Inc.",4,268,4400,23,22523,27214,45775,19235,64567,204,179360,49579
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2015/10,10,October,2015,604,557,1174,27,96,"JetBlue Airways,American Airlines Inc.,Frontier Airlines Inc.",3,120,4208,35,8894,13257,73484,15395,110171,1811,214946,14085
SEA,"Seattle, WA: Seattle-Tacoma International",2002/03,3,March,2002,1499,2122,365,27,276,"American Airlines Inc.,Allegiant Air",2,285,5510,8,20812,26615,32472,45174,53148,389,149384,18201
SFO,"San Francisco, CA: San Francisco International",2008/07,7,July,2008,822,1266,2775,4,117,"Alaska Airlines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,American Airlines Inc.,Frontier Airlines Inc.,Sun Country Airlines",6,131,5528,41,19329,25029,78063,19390,41430,1893,163827,23051
SEA,"Seattle, WA: Seattle-Tacoma International",2016/06,6,June,2016,800,80,3933,15,468,"Sun Country Airlines,JetBlue Airways",2,86,8647,45,11649,20427,73432,87845,57638,15,243801,24871
JFK,"New York, NY: John F. Kennedy International",2001/08,8,August,2001,1307,1362,592,26,253,"United Air Lines Inc.,Alaska Airlines Inc.,Southwest Airlines Co.,JetBlue Airways,American Airlines Inc.",5,168,9484,21,20494,30167,65648,26245,33795,78,149757,23991
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2015/10,10,October,2015,1847,1935,3810,19,449,"Allegiant Air,Spirit Airlines Inc.,Sun Country Airlines",3,242,8538,6,8098,16884,12669,63262,54836,1508,162349,30074
ORD,"Chicago, IL: O'Hare International",2024/03,3,March,2024,1060,2142,753,16,755,"Hawaiian Airlines Inc.,American Airlines Inc.",2,67,1845,45,15375,17332,28955,23400,94016,1157,183882,36354
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2012/10,10,October,2012,695,1190,3073,18,745,"Hawaiian Airlines Inc.,Frontier Airlines Inc.",2,134,8094,1,8499,16728,67607,95219,67731,595,272265,41113
LAX,"Los Angeles, CA: Los Angeles International",2001/03,3,March,2001,939,1222,1189,8,644,"Southwest Airlines Co.,American Airlines Inc.,Hawaiian Airlines Inc.",3,284,9866,8,16739,26897,5532,1776,114813,701,124970,2148
SFO,"San Francisco, CA: San Francisco International",2005/11,11,November,2005,475,265,2669,25,621,"Allegiant Air,Southwest Airlines Co.,Hawaiian Airlines Inc.,United Air Lines Inc.,Sun Country Airlines",5,53,1821,27,18524,20425,78899,18824,12061,447,111866,1635
DEN,"Denver, CO: Denver International",2024/08,8,August,2024,629,877,1121,7,475,"Sun Country Airlines,JetBlue Airways,Delta Air Lines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc.,American Airlines Inc.,Allegiant Air",7,135,3942,45,19328,23450,51964,92681,59844,187,219348,14672
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2007/11,11,November,2007,1524,1948,3710,11,696,"Sun Country Airlines,Delta Air Lines Inc.,Alaska Airlines Inc.,JetBlue Airways,Spirit Airlines Inc.",5,268,1466,5,16123,17862,71559,95911,115882,679,333957,49926
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2016/03,3,March,2016,386,1622,3689,3,565,"American Airlines Inc.,Spirit Airlines Inc.,Allegiant Air,Frontier Airlines Inc.",4,252,5588,11,22040,27891,66979,62000,15273,1935,158655,12468
JFK,"New York, NY: John F. Kennedy International",2014/12,12,December,2014,387,1505,3798,26,423,"Frontier Airlines Inc.,Alaska Airlines Inc.,Southwest Airlines Co.,Hawaiian Airlines Inc.",4,277,8353,39,10736,19405,66675,45184,50333,1885,201307,37230
LAX,"Los Angeles, CA: Los Angeles International",2010/05,5,May,2010,1314,1850,3278,23,568,"Spirit Airlines Inc.,JetBlue Airways,Sun Country Airlines,United Air Lines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,American Airlines Inc.",7,163,5293,37,22271,27764,26119,48940,21992,1885,145621,46685
ORD,"Chicago, IL: O'Hare International",2018/11,11,November,2018,1912,1783,981,19,338,"Alaska Airlines Inc.,American Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.,Allegiant Air,Frontier Airlines Inc.",6,127,8975,29,15813,24944,32853,4880,51343,643,116312,26593
BOS,"Boston, MA: Logan International",2017/08,8,August,2017,162,1697,1947,29,292,"Allegiant Air,Southwest Airlines Co.,American Airlines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,JetBlue Airways,Alaska Airlines Inc.",7,200,1323,37,10834,12394,16270,36729,114208,752,196777,28818
ORD,"Chicago, IL: O'Hare International",2006/12,12,December,2006,1564,561,3577,4,665,"Hawaiian Airlines Inc.,JetBlue Airways,United Air Lines Inc.",3,17,4568,43,20150,24778,8630,39598,78573,997,154925,27127
SFO,"San Francisco, CA: San Francisco International",2019/02,2,February,2019,1099,1061,1475,16,202,"United Air Lines Inc.,Hawaiian Airlines Inc.,Sun Country Airlines,Southwest Airlines Co.,American Airlines Inc.,Allegiant Air",6,95,1857,12,10669,12633,1952,79566,11507,253,129883,36605
DEN,"Denver, CO: Denver International",2016/09,9,September,2016,1368,962,2453,20,238,"JetBlue Airways,Southwest Airlines Co.",2,225,4295,5,17676,22201,8428,9633,102088,1630,129814,8035
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2020/04,4,April,2020,1450,2299,3550,2,320,"Allegiant Air,United Air Lines Inc.,Southwest Airlines Co.,Hawaiian Airlines Inc.,American Airlines Inc.",5,213,9756,9,10463,20441,23529,35650,62302,1908,155133,31744
JFK,"New York, NY: John F. Kennedy International",2016/04,4,April,2016,993,968,3951,6,559,"Sun Country Airlines,Frontier Airlines Inc.,JetBlue Airways,United Air Lines Inc.",4,88,4294,28,5113,9523,4669,71202,90642,1176,177869,10180
LAX,"Los Angeles, CA: Los Angeles International",2021/10,10,October,2021,1973,912,907,19,675,"Delta Air Lines Inc.,Spirit Airlines Inc.,Southwest Airlines Co.,Sun Country Airlines",4,139,6955,4,21038,28136,12824,47264,19285,362,118384,38649
SFO,"San Francisco, CA: San Francisco International",2021/07,7,July,2021,1660,2210,2111,20,352,"JetBlue Airways,Alaska Airlines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc.,Southwest Airlines Co.,Allegiant Air",6,285,8394,34,7213,15926,13859,49956,45099,36,132533,23583
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2002/05,5,May,2002,424,1576,1236,29,321,"Allegiant Air,Sun Country Airlines,Delta Air Lines Inc.,American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Frontier Airlines Inc.",7,169,7267,42,22386,29864,43273,71614,116700,1499,242670,9584
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2011/12,12,December,2011,148,2048,2663,4,672,"Allegiant Air,Delta Air Lines Inc.,Alaska Airlines Inc.",3,110,851,1,21401,22363,29555,25379,61920,1175,139328,21299
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/02,2,February,2006,1305,1725,365,0,318,"Delta Air Lines Inc.,Southwest Airlines Co.,United Air Lines Inc.,Alaska Airlines Inc.,Hawaiian Airlines Inc.",5,13,7106,49,12050,19218,69309,52122,61609,486,213368,29842
JFK,"New York, NY: John F. Kennedy International",2002/11,11,November,2002,854,2314,3991,17,294,"Allegiant Air,Spirit Airlines Inc.,JetBlue Airways,American Airlines Inc.,United Air Lines Inc.,Delta Air Lines Inc.",6,252,9014,1,22642,31909,71787,10020,5628,1909,116101,26757
SFO,"San Francisco, CA: San Francisco International",2010/03,3,March,2010,1798,2079,3742,18,538,"Sun Country Airlines,Spirit Airlines Inc.,American Airlines Inc.,JetBlue Airways,Allegiant Air,Delta Air Lines Inc.",6,117,1932,6,9920,11975,48584,33929,116968,666,230902,30755
DEN,"Denver, CO: Denver International",2019/09,9,September,2019,1604,1118,565,13,229,"Frontier Airlines Inc.,Spirit Airlines Inc.,Allegiant Air,Alaska Airlines Inc.,American Airlines Inc.,Sun Country Airlines",6,33,2393,49,17787,20262,41499,93547,97662,1871,256559,21980
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2014/02,2,February,2014,1265,633,1186,2,22,"Hawaiian Airlines Inc.,United Air Lines Inc.,Spirit Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways",5,56,4361,1,14771,19189,13615,96917,41311,1990,173697,19864
BOS,"Boston, MA: Logan International",2018/10,10,October,2018,50,2018,3659,8,84,"American Airlines Inc.,JetBlue Airways",2,52,6497,18,22979,29546,61485,80993,27404,424,219384,49078
DEN,"Denver, CO: Denver International",2022/05,5,May,2022,725,917,2362,28,50,"Hawaiian Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.",3,299,3144,42,18070,21555,40545,99363,95572,101,244464,8883
DEN,"Denver, CO: Denver International",2010/06,6,June,2010,190,979,2365,27,233,"Allegiant Air,Sun Country Airlines,American Airlines Inc.,Spirit Airlines Inc.,Frontier Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",7,59,7872,8,23839,31778,60179,12066,66059,456,179452,40692
SEA,"Seattle, WA: Seattle-Tacoma International",2012/05,5,May,2012,436,232,814,23,439,"Spirit Airlines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.",3,252,3531,47,29979,33809,43240,26198,29769,1052,127457,27198
BOS,"Boston, MA: Logan International",2003/08,8,August,2003,1479,2124,1543,4,345,"JetBlue Airways,Southwest Airlines Co.,Spirit Airlines Inc.,Alaska Airlines Inc.",4,198,9633,32,22337,32200,49649,10247,38001,1824,130655,30934
SEA,"Seattle, WA: Seattle-Tacoma International",2024/03,3,March,2024,1995,1014,2843,6,87,"Frontier Airlines Inc.,Alaska Airlines Inc.",2,133,7100,14,9083,16330,45090,99205,114406,731,284609,25177
DEN,"Denver, CO: Denver International",2004/03,3,March,2004,213,531,2101,2,517,"Hawaiian Airlines Inc.,Frontier Airlines Inc.,Delta Air Lines Inc.,American Airlines Inc.,Southwest Airlines Co.",5,182,9014,35,19893,29124,53901,38508,41848,308,165031,30466
SFO,"San Francisco, CA: San Francisco International",2024/12,12,December,2024,781,1589,1187,2,213,"Alaska Airlines Inc.,Allegiant Air,Spirit Airlines Inc.,Southwest Airlines Co.",4,216,7637,22,8471,16346,52663,88533,43437,360,193172,8179
SFO,"San Francisco, CA: San Francisco International",2001/10,10,October,2001,827,993,1578,10,610,"Sun Country Airlines,Frontier Airlines Inc.,JetBlue Airways",3,29,7467,35,23575,31106,28123,60010,86132,1217,186175,10693
BOS,"Boston, MA: Logan International",2002/09,9,September,2002,334,1549,479,19,206,"American Airlines Inc.,Delta Air Lines Inc.",2,176,2420,24,26694,29314,19181,26986,36526,1573,102521,18255
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2022/04,4,April,2022,1570,391,3562,29,475,"Delta Air Lines Inc.,American Airlines Inc.",2,230,7469,11,25836,33546,54562,2717,84568,1900,175261,31514
SFO,"San Francisco, CA: San Francisco International",2016/11,11,November,2016,1137,1360,1154,25,386,"Frontier Airlines Inc.,Alaska Airlines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc.,JetBlue Airways",5,166,3871,0,9684,13721,47389,57897,19757,124,129723,4556
SFO,"San Francisco, CA: San Francisco International",2012/09,9,September,2012,990,482,1102,26,751,"Sun Country Airlines,Southwest Airlines Co.,Delta Air Lines Inc.,Frontier Airlines Inc.,Alaska Airlines Inc.",5,164,7974,21,24916,33075,20964,72634,33569,1261,135444,7016
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2017/05,5,May,2017,388,1308,1050,5,558,"Spirit Airlines Inc.,Hawaiian Airlines Inc.",2,198,4201,30,29580,34009,8853,68600,57222,32,138040,3333
BOS,"Boston, MA: Logan International",2018/05,5,May,2018,1510,1310,2692,15,176,"Delta Air Lines Inc.,United Air Lines Inc.,American Airlines Inc.,Allegiant Air,Southwest Airlines Co.,Sun Country Airlines",6,294,9805,24,5889,16012,58076,23388,63262,649,181894,36519
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2012/01,1,January,2012,248,2313,1043,12,726,"Southwest Airlines Co.,Delta Air Lines Inc.,Allegiant Air,JetBlue Airways,Sun Country Airlines,Alaska Airlines Inc.,Frontier Airlines Inc.",7,66,3925,18,19676,23685,32606,61939,94639,1947,234687,43556
BOS,"Boston, MA: Logan International",2001/06,6,June,2001,519,2337,2523,3,668,"Southwest Airlines Co.,Allegiant Air,Spirit Airlines Inc.,Sun Country Airlines,Alaska Airlines Inc.",5,192,1509,22,11099,12822,57854,35960,70957,664,213585,48150
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2015/02,2,February,2015,1283,1719,1575,7,211,"Sun Country Airlines,Spirit Airlines Inc.",2,83,6649,22,22971,29725,76374,94585,24130,682,196921,1150
JFK,"New York, NY: John F. Kennedy International",2002/09,9,September,2002,1118,703,464,26,733,"United Air Lines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,Frontier Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.",6,131,1852,48,11018,13049,31389,33141,41479,1033,129026,21984
SFO,"San Francisco, CA: San Francisco International",2023/03,3,March,2023,1752,1153,660,1,657,"Delta Air Lines Inc.,United Air Lines Inc.,Sun Country Airlines,Allegiant Air",4,20,6298,26,12554,18898,25564,13754,75835,479,122736,7104
SFO,"San Francisco, CA: San Francisco International",2002/01,1,January,2002,1689,2333,2778,24,503,"United Air Lines Inc.,American Airlines Inc.,Delta Air Lines Inc.",3,203,2247,12,17899,20361,23423,47139,68094,384,164742,25702
ORD,"Chicago, IL: O'Hare International",2005/06,6,June,2005,1232,463,2620,8,260,"Frontier Airlines Inc.,Allegiant Air,Southwest Airlines Co.,JetBlue Airways,Sun Country Airlines,Alaska Airlines Inc.",6,203,9770,25,27231,37229,25907,18464,51718,1472,130917,33356
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2022/02,2,February,2022,1832,787,1585,8,97,"Sun Country Airlines,Allegiant Air",2,132,8895,14,26113,35154,69674,28715,28222,1970,138675,10094
DEN,"Denver, CO: Denver International",2002/04,4,April,2002,1383,2203,3258,12,708,"American Airlines Inc.,Sun Country Airlines,United Air Lines Inc.",3,195,5740,17,6482,12434,71434,22140,84030,273,222654,44777
ORD,"Chicago, IL: O'Hare International",2009/09,9,September,2009,1683,284,510,23,221,"Alaska Airlines Inc.,JetBlue Airways,United Air Lines Inc.",3,56,1336,49,20913,22354,37767,53039,18665,145,115732,6116
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2011/12,12,December,2011,969,205,2943,5,414,"Frontier Airlines Inc.,Spirit Airlines Inc.",2,208,7513,26,18526,26273,21884,32693,45028,243,100528,680
SFO,"San Francisco, CA: San Francisco International",2006/02,2,February,2006,391,1578,1750,13,466,"Delta Air Lines Inc.,United Air Lines Inc.,Spirit Airlines Inc.,Frontier Airlines Inc.,Southwest Airlines Co.,Hawaiian Airlines Inc.",6,61,4160,10,11398,15629,49029,62291,82383,451,238561,44407
SEA,"Seattle, WA: Seattle-Tacoma International",2011/06,6,June,2011,876,1210,1564,29,607,"Spirit Airlines Inc.,Alaska Airlines Inc.,Southwest Airlines Co.,United Air Lines Inc.,Allegiant Air,Delta Air Lines Inc.,Sun Country Airlines",7,290,8846,19,24227,33382,60143,86612,10541,1245,197029,38488
ORD,"Chicago, IL: O'Hare International",2011/08,8,August,2011,341,154,1927,7,239,"American Airlines Inc.,JetBlue Airways",2,167,3182,38,24079,27466,50645,46547,86165,1131,217581,33093
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2000/06,6,June,2000,720,1603,1410,11,427,"United Air Lines Inc.,Hawaiian Airlines Inc.",2,186,732,42,15992,16952,59321,89141,78761,1008,252278,24047
ORD,"Chicago, IL: O'Hare International",2023/06,6,June,2023,1324,879,3734,2,246,"JetBlue Airways,United Air Lines Inc.,Allegiant Air,Southwest Airlines Co.,Sun Country Airlines,Alaska Airlines Inc.",6,19,7217,17,8994,16247,59473,89648,24668,13,189005,15203
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2007/10,10,October,2007,1837,821,2203,15,669,"Sun Country Airlines,Alaska Airlines Inc.,Frontier Airlines Inc.,Delta Air Lines Inc.,Allegiant Air,Southwest Airlines Co.,American Airlines Inc.",7,271,1934,34,16304,18543,1597,29476,1986,1888,75011,40064
BOS,"Boston, MA: Logan International",2004/07,7,July,2004,1741,1372,3701,11,746,"American Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.,Allegiant Air,Alaska Airlines Inc.,Sun Country Airlines",6,101,9600,2,16528,26231,16768,15071,104375,651,149030,12165
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2001/10,10,October,2001,950,1597,1794,25,447,"Allegiant Air,United Air Lines Inc.",2,174,3845,34,6613,10666,15854,94300,115153,200,267965,42458
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/06,6,June,2006,340,94,1810,24,589,"Spirit Airlines Inc.,Southwest Airlines Co.,Alaska Airlines Inc.,Hawaiian Airlines Inc.",4,185,7949,49,10495,18678,75462,71341,13404,1470,201053,39376
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2005/01,1,January,2005,934,1690,3548,22,622,"Alaska Airlines Inc.,Hawaiian Airlines Inc.,JetBlue Airways",3,156,9453,32,21329,30970,21129,6658,42816,1210,118328,46515
JFK,"New York, NY: John F. Kennedy International",2020/06,6,June,2020,1525,606,3294,12,6,"Southwest Airlines Co.,United Air Lines Inc.,American Airlines Inc.,Sun Country Airlines,Hawaiian Airlines Inc.,Delta Air Lines Inc.",6,283,8366,17,26889,35555,19868,79856,85528,256,205601,20093
DEN,"Denver, CO: Denver International",2018/10,10,October,2018,1262,1176,3036,5,554,"Hawaiian Airlines Inc.,Allegiant Air,JetBlue Airways,Alaska Airlines Inc.,United Air Lines Inc.,Sun Country Airlines",6,220,1630,28,19393,21271,23695,13810,77566,466,122422,6885
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2022/02,2,February,2022,142,1512,1352,12,346,"Delta Air Lines Inc.,American Airlines Inc.,United Air Lines Inc.",3,74,3192,41,13180,16487,35312,38567,39495,525,129557,15658
ORD,"Chicago, IL: O'Hare International",2015/10,10,October,2015,1589,2132,442,23,786,"Allegiant Air,Alaska Airlines Inc.,Hawaiian Airlines Inc.",3,66,8689,19,25351,34125,10665,48727,92685,1199,186074,32798
BOS,"Boston, MA: Logan International",2002/01,1,January,2002,1876,2353,1729,20,650,"Frontier Airlines Inc.,Southwest Airlines Co.",2,173,4202,6,22173,26554,53793,7447,41326,814,126536,23156
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2021/08,8,August,2021,986,2300,55,11,517,"Alaska Airlines Inc.,Sun Country Airlines,Spirit Airlines Inc.",3,42,5680,6,17922,23650,58241,57358,117865,1476,253265,18325
SEA,"Seattle, WA: Seattle-Tacoma International",2014/02,2,February,2014,1419,795,3642,9,66,"Spirit Airlines Inc.,Allegiant Air,Sun Country Airlines,Southwest Airlines Co.,Delta Air Lines Inc.,American Airlines Inc.,Alaska Airlines Inc.",7,137,4250,1,28661,33049,66100,8070,85144,1775,178296,17207
SFO,"San Francisco, CA: San Francisco International",2018/02,2,February,2018,531,1358,2245,20,323,"Alaska Airlines Inc.,Frontier Airlines Inc.,Delta Air Lines Inc.,JetBlue Airways,Hawaiian Airlines Inc.,American Airlines Inc.",6,206,4342,50,24763,29361,43335,55114,9327,459,143892,35657
JFK,"New York, NY: John F. Kennedy International",2007/11,11,November,2007,797,1733,185,19,424,"Spirit Airlines Inc.,Alaska Airlines Inc.,Sun Country Airlines,Delta Air Lines Inc.,Southwest Airlines Co.,Frontier Airlines Inc.,United Air Lines Inc.",7,100,7217,39,24212,31568,14923,82250,81343,522,199559,20521
JFK,"New York, NY: John F. Kennedy International",2014/06,6,June,2014,328,2477,2201,16,731,"Delta Air Lines Inc.,JetBlue Airways,Southwest Airlines Co.,Sun Country Airlines,United Air Lines Inc.,Frontier Airlines Inc.",6,61,2838,36,14243,17178,37580,78026,106044,1079,245801,23072
LAX,"Los Angeles, CA: Los Angeles International",2010/09,9,September,2010,711,2160,2302,20,789,"Delta Air Lines Inc.,JetBlue Airways,Hawaiian Airlines Inc.,Allegiant Air,American Airlines Inc.",5,36,6338,20,13932,20326,76238,32142,30317,124,144704,5883
LAX,"Los Angeles, CA: Los Angeles International",2013/10,10,October,2013,683,1429,863,10,408,"JetBlue Airways,Frontier Airlines Inc.,Spirit Airlines Inc.,Alaska Airlines Inc.",4,181,9008,32,22085,31306,51978,7651,111666,635,180506,8576
ORD,"Chicago, IL: O'Hare International",2010/07,7,July,2010,66,560,2133,16,43,"Allegiant Air,Sun Country Airlines,Delta Air Lines Inc.,JetBlue Airways,Frontier Airlines Inc.,Alaska Airlines Inc.",6,27,3827,11,12951,16816,13049,64816,64063,1415,153463,10120
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2016/07,7,July,2016,721,1486,997,23,493,"Alaska Airlines Inc.,United Air Lines Inc.",2,15,6334,27,22728,29104,16033,45180,59350,225,160637,39849
SEA,"Seattle, WA: Seattle-Tacoma International",2010/03,3,March,2010,1181,1180,954,20,258,"Delta Air Lines Inc.,Spirit Airlines Inc.",2,238,2226,14,6535,9013,65307,55502,68430,55,212697,23403
BOS,"Boston, MA: Logan International",2021/09,9,September,2021,1722,563,2795,16,776,"Spirit Airlines Inc.,Allegiant Air,Sun Country Airlines,Southwest Airlines Co.",4,132,4613,49,7675,12469,37772,61467,23032,1612,133583,9700
LAX,"Los Angeles, CA: Los Angeles International",2004/04,4,April,2004,1864,1260,2713,16,762,"Sun Country Airlines,Allegiant Air,Alaska Airlines Inc.,Spirit Airlines Inc.,American Airlines Inc.,United Air Lines Inc.,Delta Air Lines Inc.",7,54,9531,41,27190,36816,33274,13291,85136,936,158016,25379
SEA,"Seattle, WA: Seattle-Tacoma International",2015/08,8,August,2015,1209,231,1184,29,201,"Delta Air Lines Inc.,Frontier Airlines Inc.,Spirit Airlines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc.,JetBlue Airways",6,45,5866,9,22930,28850,44360,67695,71851,947,192321,7468
DEN,"Denver, CO: Denver International",2000/08,8,August,2000,1880,1644,789,30,246,"Frontier Airlines Inc.,Sun Country Airlines,Delta Air Lines Inc.",3,114,3214,32,5944,9304,60865,92330,20403,1836,177374,1940
LAX,"Los Angeles, CA: Los Angeles International",2009/01,1,January,2009,1763,361,3557,5,312,"Sun Country Airlines,Delta Air Lines Inc.,Hawaiian Airlines Inc.",3,184,3340,38,11912,15474,78162,5974,69065,1018,167751,13532
SFO,"San Francisco, CA: San Francisco International",2008/09,9,September,2008,166,2058,3404,3,30,"Alaska Airlines Inc.,Sun Country Airlines",2,29,7127,34,13823,21013,40603,44033,13631,455,129812,31090
BOS,"Boston, MA: Logan International",2001/12,12,December,2001,1369,2123,3603,12,607,"Hawaiian Airlines Inc.,Spirit Airlines Inc.,American Airlines Inc.",3,54,6928,31,26375,33388,31202,86680,35329,520,163725,9994
